"scenario","Rt","Vaccine","date","hospitalisations_med","hospitalisations_baseline_med","hospitalisations_averted_med","hospitalisations_025","hospitalisations_baseline_025","hospitalisations_averted_025","hospitalisations_25","hospitalisations_baseline_25","hospitalisations_averted_25","hospitalisations_75","hospitalisations_baseline_75","hospitalisations_averted_75","hospitalisations_975","hospitalisations_baseline_975","hospitalisations_averted_975"
6,"Economic Based","100-Day Mission & Manufacturing",2020-08-27,36508.7025766256,74500.4289919898,38386.9812636236,27888.6921962539,56976.7505006106,28412.2485662635,32507.6440980822,66405.1794385664,33487.3511309432,41576.1281835656,86345.1450712881,44201.4036898151,45940.8164839064,95057.5940943891,49542.2850101998
6,"Economic Based","100-Day Mission & Manufacturing",2020-08-28,36023.8829634831,74422.5530681805,38815.249265171,27499.1816735127,56697.2412963905,28610.0605784633,32035.8749654972,66171.2272056672,33733.1632548285,41040.3269612869,86315.2844725849,44706.6988825519,45435.9403187944,95077.493768533,50013.7380175993
6,"Economic Based","100-Day Mission & Manufacturing",2020-08-29,35550.1392295753,74360.7674962461,39156.3161196729,27118.0604234574,56433.624193869,28765.6354299172,31557.5537218104,65999.2158577358,34081.6483057679,40510.5684801226,86306.0067436477,45217.2360726509,44933.4479877774,95110.2882148124,50491.4554189866
6,"Economic Based","100-Day Mission & Manufacturing",2020-08-30,35135.0968498295,74304.3214254331,39492.2793024537,26740.7138126668,56184.5296852031,28924.171102383,31119.4045764391,65803.2181226664,34425.8412985904,39988.2715843225,86321.5376814575,45731.1238458564,44432.1438978316,95160.2490748623,50988.8682872684
6,"Economic Based","100-Day Mission & Manufacturing",2020-08-31,34728.0297810152,74244.5773680806,39839.322425427,26363.6520844131,55948.4861592849,29118.9615304309,30667.0519170383,65633.0822002093,34722.5531251849,39552.0995071667,86363.7413004273,46246.5573228352,43931.1654481109,95228.8169755403,51520.2619810884
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-01,34320.7213986979,74178.1316290375,40196.2869859863,25986.323621724,55725.085136933,29342.8416171726,30237.8800031901,65459.0058065327,35037.1812148056,39125.002729908,86430.5136165889,46761.8278169747,43430.3594240136,95313.6842093597,52062.2596031302
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-02,33913.5945617014,74105.621151677,40561.1341828418,25610.0468306504,55514.9193411143,29570.202778527,29837.9630522944,65324.5010926222,35344.655565934,38690.8791881655,86506.5624240926,47275.8822684354,42907.2295120296,95380.2796296755,52611.6994445766
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-03,33507.604537985,74029.3826919993,40931.6952744599,25236.7831935007,55319.0580159262,29801.6110294822,29410.6313011844,65180.6932575856,35640.3863723299,38220.2793364005,86406.9491025275,47776.1961480297,42366.6708605197,95465.3346295805,53165.3982436445
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-04,33103.7354711247,73952.3583267182,41306.4240452865,24868.4635075671,55166.392819132,30037.8384176122,29074.538252323,65056.5607207168,35881.1619753482,37718.4049167175,86309.7324222528,48270.629247035,41830.7671189164,95565.1344879344,53720.8244120049
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-05,32716.5849087897,73877.1678427591,41684.7084613109,24507.6179624753,55060.4255665385,30280.4761372261,28666.1037645715,64973.0929719444,36142.9864077634,37209.6165968503,86225.2080343212,48765.8093680881,41299.7234722066,95674.7931592958,54276.8629623631
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-06,32357.1225019287,73805.9130650859,42067.1789752463,24176.1442659889,54994.1662807485,30531.9500214592,28264.9830833128,64889.2233656731,36456.0545653545,36740.7815631856,86159.2477353825,49266.257316964,40775.0612168031,95791.924117074,54834.126733556
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-07,31998.6627166538,73739.4846574511,42478.6142226655,23857.1524586348,54945.3604028886,30793.5066432968,27872.8876182869,64831.6248561442,36776.4764010334,36321.4940653356,86115.1972008505,49774.6440569421,40259.0538656633,95914.3949941233,55392.8005683955
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-08,31641.4622650632,73677.8595026132,42887.6860219405,23549.6151328233,54912.691339088,31064.5955070217,27490.3102178185,64767.2714990185,37095.7849998342,35901.2574893347,86091.7146258857,50290.4594859771,39750.7111039341,96039.5568549763,55951.5656156892
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-09,31286.1408740159,73620.5801830162,43293.8555077229,23252.7713822599,54894.117684578,31343.7201718268,27117.0393388307,64692.9681010981,37394.4834379252,35447.4983856726,86084.8683653245,50811.1491202416,39260.3665239278,96164.7323416295,56543.1442563843
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-10,30933.3261400985,73567.0401228137,43709.8917380307,22965.4385848093,54887.3475920939,31629.1953568755,26752.5024341272,64633.5974811761,37698.6790852494,34978.1621969445,86089.9491857981,51333.6888722536,38776.636155034,96287.4985349614,57130.2676849941
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-11,30549.7489411707,73516.3747535378,44126.6606882171,22686.2014233927,54865.1356359597,31919.508209484,26395.8264992367,64610.7477168567,38003.9882424031,34491.1976956597,86129.7959473392,51855.1848203714,38294.2700642851,96393.7494697136,57710.7002504058
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-12,30156.9607053318,73458.1415415577,44531.3984548485,22394.1906244366,54844.2527945387,32210.5090360895,26043.3796919397,64604.0622590129,38308.1447061982,33998.2917103015,86228.400281643,52367.5638617794,37814.5125385404,96481.3878877566,58274.9572785387
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-13,29764.5674231274,73367.6117208055,44898.2907221679,22101.1121067121,54827.9121050533,32493.6198267481,25687.8707094188,64631.8311126369,38599.499567684,33510.7932735234,86282.7143371988,52853.6676877438,37351.5321536666,96537.7367695805,58802.6859259845
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-14,29370.9663486692,73227.4443574131,45208.676554237,21802.5308411167,54812.4572679249,32762.1682216781,25324.5725957876,64640.2241156748,38870.2697755985,33030.4531211405,86273.0277497453,53300.6196016625,36914.0164414384,96551.4918891919,59279.1069163755
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-15,28976.3557172926,73035.8716313803,45435.7206246423,21497.3715021347,54796.5633251998,33014.2546151312,25017.7245577492,64599.4349663766,39080.1838777365,32541.681568868,86170.3845770521,53705.2175814978,36478.1872231543,96495.4046848078,59701.1961245745
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-16,28562.8258629499,72801.9874695997,45564.126572085,21187.3030295859,54780.9571209543,33251.2638289016,24774.9124036164,64376.6009461224,39305.0195367488,32033.341120845,85973.4318578287,54057.7249602545,36044.5968474616,96339.2642922366,60073.7459590331
6,"Economic Based","100-Day Mission & Manufacturing",2020-09-17,28078.101175503,72543.5050046147,45639.7188818166,20875.162947531,54705.4658403992,33476.276714877,24469.9223266612,64209.7576774875,39388.8267866508,31630.2636990861,85811.1558837128,54368.139111872,35615.2173102329,96135.2459364921,60404.8931980114
