"scenario","income","Rt","Vaccine","life_years_saved_med","life_years_saved_undiscounted_med","productive_life_years_saved_med","productive_life_years_saved_undiscounted_med","economic_productive_loss_med","economic_productive_loss_undiscounted_med","economic_lives_saved_med","economic_life_years_saved_med","economic_life_years_saved_undiscounted_med","life_years_saved_025","life_years_saved_undiscounted_025","productive_life_years_saved_025","productive_life_years_saved_undiscounted_025","economic_productive_loss_025","economic_productive_loss_undiscounted_025","economic_lives_saved_025","economic_life_years_saved_025","economic_life_years_saved_undiscounted_025","life_years_saved_25","life_years_saved_undiscounted_25","productive_life_years_saved_25","productive_life_years_saved_undiscounted_25","economic_productive_loss_25","economic_productive_loss_undiscounted_25","economic_lives_saved_25","economic_life_years_saved_25","economic_life_years_saved_undiscounted_25","life_years_saved_75","life_years_saved_undiscounted_75","productive_life_years_saved_75","productive_life_years_saved_undiscounted_75","economic_productive_loss_75","economic_productive_loss_undiscounted_75","economic_lives_saved_75","economic_life_years_saved_75","economic_life_years_saved_undiscounted_75","life_years_saved_975","life_years_saved_undiscounted_975","productive_life_years_saved_975","productive_life_years_saved_undiscounted_975","economic_productive_loss_975","economic_productive_loss_undiscounted_975","economic_lives_saved_975","economic_life_years_saved_975","economic_life_years_saved_undiscounted_975"
9,"LIC","Economic Based","100-Day Mission & Infrastructure",5811214.36692913,8588180.7304845,4099887.34107658,6286033.98835516,8655026373.19354,13319826536.2668,27294455417.8002,15820496535.8748,11360257322.2216,4876015.24678298,7106781.4704025,3371746.32785404,5136654.56788853,6979963748.96335,10600694585.6756,20895100531.5038,12107860163.0495,8624064689.67569,5534464.99528643,8130324.37213448,3882348.280908,5937964.68935653,8084261592.13345,12469528611.1499,25246493905.2317,14530413332.2219,10435233598.1106,6033590.98409908,8916909.70036835,4280840.25838812,6579344.33768981,9156700815.24081,14268918321.9669,28449089120.1148,16836736128.2668,12275553388.1244,6606166.19250609,9834528.71885142,4694011.64141467,7264111.36783834,10408930149.0927,16190853897.2677,31278309881.9414,18801339166.7786,13817044801.785
10,"LIC","History Based","100-Day Mission Total (Manu. & Infr.)",9108541.24746343,13599335.4613091,6325243.34093333,9835061.24118672,13463701137.2442,21098412834.0053,42554088675.5333,24828898949.3654,18190014720.2962,8126139.50888358,12036355.6895187,5630982.66951721,8675197.24115792,11678698660.782,17979068771.7477,37519573985.8118,21486210012.6133,15482554809.2938,8811192.98560634,13143990.564743,6029463.41063668,9355154.89779644,12802683754.5411,19868263779.9492,41064511146.4553,23886570963.2179,17367281643.1654,9445221.97639078,14211366.1211788,6617347.18292358,10350195.6722153,14204648599.6453,22347618692.506,43533150887.7179,25942587817.8541,19207096883.8903,9865123.30428138,14958116.6783701,7053113.99159301,11111585.8056237,15308883486.6289,24300854915.323,44898277234.9178,27468579223.0711,20516302692.0572
11,"LIC","Target Based","100-Day Mission Total (Manu. & Infr.)",7304235.42062611,10687017.8797769,5130378.15210672,7847147.28196525,10801508048.906,16646110760.0941,34519077515.1332,19817209937.573,14186432024.0984,5929602.17517155,8375714.70655291,4032663.29541283,6031867.78978077,8693355442.24346,13118271312.4781,29142033039.2866,16035643982.3166,11117512097.8851,6912906.85633437,10014739.4069707,4785445.06502624,7269756.79275294,10094005217.5768,15374130422.6646,33339964136.6299,18748693402.8881,13266407101.3438,7538610.43309451,11091823.4696621,5364293.17974258,8260857.86319396,11654615522.7014,18130049882.2391,36072354780.4774,21067128019.1416,15266079808.8888,8209067.93085055,12305311.7119284,5949429.40271064,9302656.63056833,13040974146.929,20494775544.3058,38581426709.8527,23227797774.0101,17124712079.7981
12,"LIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",7920716.04692018,11719485.0225949,5533305.932359,8554780.46317369,11751084306.5226,18216988726.2739,37052028510.1452,21354663205.4058,15519710754.3437,6919055.56887687,10051410.442193,4806518.19409364,7333743.13310805,10209419635.9098,15637392883.8877,32963151614.1012,18930376667.0843,13525990021.5962,7539866.51082884,11063326.1636058,5222911.68800901,8000174.19246264,11029982527.7666,16976534983.6368,35407584339.0285,20312138691.621,14601892899.984,8308018.33744334,12384280.4671484,5908447.6073352,9191829.92219228,12624402072.1415,19763076472.3265,39089093838.8299,22946652091.6491,16817036716.0579,8879273.25130731,13414275.949881,6417633.19691454,10076240.6897789,14252172622.564,22646982355.1722,41466430088.4836,25353309608.4906,18931033641.0275
1,"LMIC","History Based","100-Day Mission",89035341.0166759,132085769.986677,61835322.9808042,96653080.776391,508982925820.377,797072616535.048,5516674548362.87,3481926294143.92,2645675428258.77,58004440.7455477,88640390.4447785,44725890.4041017,69977225.2478348,388244591661.281,605534168843.92,3674099025744.29,2448650587528.95,1892494945289.32,71179338.1109837,106309676.61073,52681533.9987151,82108762.1699382,440042385179.284,690609128508.234,4390478033056.58,2865981304788.64,2162421376576.79,96155150.8489938,146631261.631764,71745920.8812163,114231152.866383,577699080779.932,916713259571.546,5680251916112.11,3721077373607.8,2874038471010.95,100711781.363088,155849371.097323,77318565.8025876,123223590.216354,618505110438.06,986226274160.724,5831312161621.91,3903812055560.06,3049068699724.33
2,"LMIC","Target Based","100-Day Mission",44654920.9375074,64092826.6198347,33245977.3613096,51145813.9782708,302708922008.159,470840581071.228,3041189924452.55,1946514686999.16,1454856000434.99,21570019.5931871,28831051.8620408,17143337.1318184,25798972.6552972,179279994829.954,273527093969.943,2060023846039.47,1221918585465.39,873597036358.759,37230420.3281214,52425133.9295775,27234296.3269119,40409070.2206113,254596549558.661,391810395515.826,2750734872243.83,1721847029034.54,1261684964320.35,53228920.3138999,79501851.0098265,41431404.9418371,64769160.5010259,357664290599.041,561514643630.348,3389114974376.08,2184642350219.07,1671462987960.95,69032299.1743501,105134093.727881,52772690.6681243,83785947.9889166,438471972039.576,697241669490.037,4148603692986.89,2713285893699.04,2089318864711.44
3,"LMIC","Economic Based","100-Day Mission",72790834.0019403,107848575.850396,51640741.8627675,81158404.4095003,435313697210.168,684100752052.51,4645435096518.18,2912910186493.87,2207800260645.74,49979989.0487357,73184006.4282947,37557465.6389644,58376751.7000488,330899120244.954,516733481630.073,3233261434252.29,2102237876039.58,1595239881346.47,58774180.1237209,88216865.2585476,45120209.3406432,69913400.7141097,384158318629.684,602245071254.123,3830984704041.83,2416566615868.34,1836563509354.07,84406938.7318667,128397392.360395,62701821.8554305,99475131.1155718,515865702367.589,820462637380.971,5010890498007.07,3302943693300.38,2564537331781.52,90922304.9821508,140380631.807286,70462692.3016393,112371673.809789,568469071184.87,905850492965.923,5229035516608.68,3524887537092.98,2754845302483.29
4,"LMIC","History Based","100-Day Mission & Manufacturing",104844220.842644,156293094.735513,73631668.0901935,115383218.211867,598497691421.431,942383251698.034,6503402324577.97,4085382395293.74,3094947721117.82,59169304.8272686,90570650.9009219,46340421.4539076,72885320.6853096,399988050711.611,628221990724.131,3881097964051.74,2554106350339.52,1959099354139.74,101626738.827234,149824895.971705,68618437.5797204,106237344.030437,559497445775.256,869426737328.904,6387240281279.72,3939114329473.27,2954835425072.65,109496816.373184,167378454.371327,81113421.6627452,128553324.799943,654113957737.122,1039655129772.84,6556311651030.86,4239834900549.19,3272457618720.14,114114205.031959,175956706.109073,86728198.0841564,137945635.007128,694523642554.528,1105375648357.3,6701455057792.93,4411622405801.04,3434544383284.4
5,"LMIC","Target Based","100-Day Mission & Manufacturing",78936677.6888688,116048094.60173,54548753.9012084,84349854.1211327,463039298127.341,722753654470.044,5169241417080.08,3177807269384.46,2375803968179.64,27861954.5934345,40756320.0072085,24602145.0334517,37908900.7611125,238489404507.328,369802826023.451,2107850067141.16,1405758604314.31,1060905534842.8,62444312.2468807,90779514.0463575,45066434.5757853,69294946.7089482,390966914073.72,597507903978.519,4149016205140.3,2588251769526.13,1937907849997.84,85719387.7165038,126762429.121576,61550455.3541122,97302544.6267391,518338352731.538,813123065586.497,5488422521206.42,3432996794420.81,2615631950204.23,95138871.0215893,145042301.70575,72147783.4684781,114700091.742834,589925620765.908,938291401171.292,5734051793875.23,3760745492185.49,2912670291638.77
6,"LMIC","Economic Based","100-Day Mission & Manufacturing",91018798.1212221,134467174.958481,61900195.4018142,95819906.2449182,521606687394.796,808786863338.184,5849184696731.19,3652897034395.02,2736980645032.28,59336424.3230069,89293056.2162312,45551247.7487952,71360028.9764009,403895130128.949,632375167430.926,3953573164169.38,2596444046306.85,1978413960674.7,70359781.4795891,106364212.655024,52736995.896563,82629441.0844427,451599104750.242,710231990275.902,4641102760029.6,2951001947222.38,2270002960761.96,96775634.9995824,146705411.101243,71005923.4908733,112594264.067455,592642499941.117,941850783093.162,6011906612242.68,3885311964425.61,2994359408865.35,104282583.669565,160024162.854963,79003200.7223611,125862517.941094,647430536549.758,1031987471754.14,6213660202842.8,4112039591456.37,3211454019337.81
