"iso3c","Dim2","lg","age_group"
"CRI","75-79 years",13.205,"75-80"
"CRI","80+",9.78,"80+"
"CUB","0-4",77.81,"0-5"
"CUB","5-9 years",73.23,"5-10"
"CUB","10-14 years",68.295,"10-15"
"CUB","15-19  years",63.36,"15-20"
"CUB","20-24 years",58.48,"20-25"
"CUB","25-29 years",53.615,"25-30"
"CUB","30-34 years",48.79,"30-35"
"CUB","35-39 years",43.99,"35-40"
"CUB","40-44 years",39.26,"40-45"
"CUB","45-49 years",34.59,"45-50"
"CUB","50-54 years",30.03,"50-55"
"CUB","55-59 years",25.635,"55-60"
"CUB","60-64 years",21.58,"60-65"
"CUB","65-69 years",17.76,"65-70"
"CUB","70-74 years",14.275,"70-75"
"CUB","75-79 years",11.175,"75-80"
"CUB","80+",8.39,"80+"
"CYP","0-4",83.12,"0-5"
"CYP","5-9 years",78.31,"5-10"
"CYP","10-14 years",73.34,"10-15"
"CYP","15-19  years",68.37,"15-20"
"CYP","20-24 years",63.415,"20-25"
"CYP","25-29 years",58.495,"25-30"
"CYP","30-34 years",53.555,"30-35"
"CYP","35-39 years",48.645,"35-40"
"CYP","40-44 years",43.75,"40-45"
"CYP","45-49 years",38.91,"45-50"
"CYP","50-54 years",34.13,"50-55"
"CYP","55-59 years",29.435,"55-60"
"CYP","60-64 years",24.87,"60-65"
"CYP","65-69 years",20.495,"65-70"
"CYP","70-74 years",16.3,"70-75"
"CYP","75-79 years",12.435,"75-80"
"CYP","80+",8.8,"80+"
"CZE","0-4",79.115,"0-5"
"CZE","5-9 years",74.355,"5-10"
"CZE","10-14 years",69.385,"10-15"
"CZE","15-19  years",64.415,"15-20"
"CZE","20-24 years",59.51,"20-25"
"CZE","25-29 years",54.645,"25-30"
"CZE","30-34 years",49.775,"30-35"
"CZE","35-39 years",44.92,"35-40"
"CZE","40-44 years",40.105,"40-45"
"CZE","45-49 years",35.355,"45-50"
"CZE","50-54 years",30.715,"50-55"
"CZE","55-59 years",26.24,"55-60"
"CZE","60-64 years",21.965,"60-65"
"CZE","65-69 years",18.025,"65-70"
"CZE","70-74 years",14.34,"70-75"
"CZE","75-79 years",10.985,"75-80"
"CZE","80+",7.965,"80+"
"DEU","0-4",81.745,"0-5"
"DEU","5-9 years",77.035,"5-10"
"DEU","10-14 years",72.065,"10-15"
"DEU","15-19  years",67.09,"15-20"
"DEU","20-24 years",62.165,"20-25"
"DEU","25-29 years",57.25,"25-30"
"DEU","30-34 years",52.34,"30-35"
"DEU","35-39 years",47.46,"35-40"
"DEU","40-44 years",42.63,"40-45"
"DEU","45-49 years",37.85,"45-50"
"DEU","50-54 years",33.18,"50-55"
"DEU","55-59 years",28.665,"55-60"
"DEU","60-64 years",24.37,"60-65"
"DEU","65-69 years",20.37,"65-70"
"DEU","70-74 years",16.605,"70-75"
"DEU","75-79 years",13.145,"75-80"
"DEU","80+",9.95,"80+"
"DJI","0-4",68.275,"0-5"
"DJI","5-9 years",64.875,"5-10"
"DJI","10-14 years",60.365,"10-15"
"DJI","15-19  years",55.655,"15-20"
"DJI","20-24 years",50.975,"20-25"
"DJI","25-29 years",46.365,"25-30"
"DJI","30-34 years",41.83,"30-35"
"DJI","35-39 years",37.43,"35-40"
"DJI","40-44 years",33.185,"40-45"
"DJI","45-49 years",29.125,"45-50"
"DJI","50-54 years",25.2,"50-55"
"DJI","55-59 years",21.425,"55-60"
"DJI","60-64 years",17.795,"60-65"
"DJI","65-69 years",14.475,"65-70"
"DJI","70-74 years",11.44,"70-75"
"DJI","75-79 years",8.845,"75-80"
"DJI","80+",6.64,"80+"
"DNK","0-4",81.305,"0-5"
"DNK","5-9 years",76.59,"5-10"
"DNK","10-14 years",71.61,"10-15"
"DNK","15-19  years",66.635,"15-20"
"DNK","20-24 years",61.685,"20-25"
"DNK","25-29 years",56.75,"25-30"
"DNK","30-34 years",51.83,"30-35"
"DNK","35-39 years",46.93,"35-40"
"DNK","40-44 years",42.06,"40-45"
"DNK","45-49 years",37.24,"45-50"
"DNK","50-54 years",32.51,"50-55"
"DNK","55-59 years",27.92,"55-60"
"DNK","60-64 years",23.555,"60-65"
"DNK","65-69 years",19.43,"65-70"
"DNK","70-74 years",15.545,"70-75"
"DNK","75-79 years",11.85,"75-80"
"DNK","80+",8.46,"80+"
"DOM","0-4",73.74,"0-5"
"DOM","5-9 years",70.09,"5-10"
"DOM","10-14 years",65.185,"10-15"
"DOM","15-19  years",60.27,"15-20"
"DOM","20-24 years",55.485,"20-25"
"DOM","25-29 years",50.855,"25-30"
"DOM","30-34 years",46.255,"30-35"
"DOM","35-39 years",41.72,"35-40"
"DOM","40-44 years",37.235,"40-45"
"DOM","45-49 years",32.845,"45-50"
"DOM","50-54 years",28.59,"50-55"
"DOM","55-59 years",24.575,"55-60"
"DOM","60-64 years",20.675,"60-65"
"DOM","65-69 years",17.175,"65-70"
"DOM","70-74 years",13.77,"70-75"
"DOM","75-79 years",10.855,"75-80"
"DOM","80+",7.955,"80+"
"DZA","0-4",77.71,"0-5"
"DZA","5-9 years",73.965,"5-10"
"DZA","10-14 years",69.085,"10-15"
"DZA","15-19  years",64.195,"15-20"
"DZA","20-24 years",59.35,"20-25"
"DZA","25-29 years",54.545,"25-30"
"DZA","30-34 years",49.74,"30-35"
"DZA","35-39 years",44.955,"35-40"
"DZA","40-44 years",40.215,"40-45"
"DZA","45-49 years",35.52,"45-50"
"DZA","50-54 years",30.91,"50-55"
"DZA","55-59 years",26.42,"55-60"
"DZA","60-64 years",22.075,"60-65"
"DZA","65-69 years",17.98,"65-70"
"DZA","70-74 years",14.085,"70-75"
"DZA","75-79 years",10.435,"75-80"
"DZA","80+",7.245,"80+"
"ECU","0-4",78.455,"0-5"
"ECU","5-9 years",74.545,"5-10"
"ECU","10-14 years",69.65,"10-15"
"ECU","15-19  years",64.78,"15-20"
"ECU","20-24 years",59.985,"20-25"
"ECU","25-29 years",55.27,"25-30"
"ECU","30-34 years",50.535,"30-35"
"ECU","35-39 years",45.82,"35-40"
"ECU","40-44 years",41.15,"40-45"
"ECU","45-49 years",36.485,"45-50"
"ECU","50-54 years",31.9,"50-55"
"ECU","55-59 years",27.445,"55-60"
"ECU","60-64 years",23.175,"60-65"
"ECU","65-69 years",19.07,"65-70"
"ECU","70-74 years",15.335,"70-75"
"ECU","75-79 years",11.745,"75-80"
"ECU","80+",8.45,"80+"
"EGY","0-4",72.16,"0-5"
"EGY","5-9 years",68.365,"5-10"
"EGY","10-14 years",63.51,"10-15"
"EGY","15-19  years",58.64,"15-20"
"EGY","20-24 years",53.85,"20-25"
"EGY","25-29 years",49.055,"25-30"
"EGY","30-34 years",44.255,"30-35"
"EGY","35-39 years",39.495,"35-40"
"EGY","40-44 years",34.78,"40-45"
"EGY","45-49 years",30.15,"45-50"
"EGY","50-54 years",25.67,"50-55"
"EGY","55-59 years",21.525,"55-60"
"EGY","60-64 years",17.8,"60-65"
"EGY","65-69 years",14.495,"65-70"
"EGY","70-74 years",11.765,"70-75"
"EGY","75-79 years",9.06,"75-80"
"EGY","80+",6.815,"80+"
"ERI","0-4",65.14,"0-5"
"ERI","5-9 years",61.84,"5-10"
"ERI","10-14 years",57.06,"10-15"
"ERI","15-19  years",52.27,"15-20"
"ERI","20-24 years",47.62,"20-25"
"ERI","25-29 years",43.09,"25-30"
"ERI","30-34 years",38.615,"30-35"
"ERI","35-39 years",34.215,"35-40"
"ERI","40-44 years",29.975,"40-45"
"ERI","45-49 years",25.97,"45-50"
"ERI","50-54 years",22.195,"50-55"
"ERI","55-59 years",18.695,"55-60"
"ERI","60-64 years",15.475,"60-65"
"ERI","65-69 years",12.595,"65-70"
"ERI","70-74 years",9.995,"70-75"
"ERI","75-79 years",7.745,"75-80"
"ERI","80+",5.835,"80+"
"ESP","0-4",83.18,"0-5"
"ESP","5-9 years",78.44,"5-10"
"ESP","10-14 years",73.465,"10-15"
"ESP","15-19  years",68.49,"15-20"
"ESP","20-24 years",63.54,"20-25"
"ESP","25-29 years",58.605,"25-30"
"ESP","30-34 years",53.68,"30-35"
"ESP","35-39 years",48.765,"35-40"
"ESP","40-44 years",43.87,"40-45"
"ESP","45-49 years",39.025,"45-50"
"ESP","50-54 years",34.285,"50-55"
"ESP","55-59 years",29.71,"55-60"
"ESP","60-64 years",25.31,"60-65"
"ESP","65-69 years",21.075,"65-70"
"ESP","70-74 years",17.005,"70-75"
"ESP","75-79 years",13.1,"75-80"
"ESP","80+",9.565,"80+"
"EST","0-4",78.65,"0-5"
"EST","5-9 years",73.835,"5-10"
"EST","10-14 years",68.875,"10-15"
"EST","15-19  years",63.91,"15-20"
"EST","20-24 years",59.015,"20-25"
"EST","25-29 years",54.15,"25-30"
"EST","30-34 years",49.305,"30-35"
"EST","35-39 years",44.49,"35-40"
"EST","40-44 years",39.71,"40-45"
"EST","45-49 years",35.055,"45-50"
"EST","50-54 years",30.525,"50-55"
"EST","55-59 years",26.245,"55-60"
"EST","60-64 years",22.125,"60-65"
"EST","65-69 years",18.235,"65-70"
"EST","70-74 years",14.695,"70-75"
"EST","75-79 years",11.655,"75-80"
"EST","80+",8.64,"80+"
"ETH","0-4",70.285,"0-5"
"ETH","5-9 years",67.3,"5-10"
"ETH","10-14 years",62.675,"10-15"
"ETH","15-19  years",57.98,"15-20"
"ETH","20-24 years",53.255,"20-25"
"ETH","25-29 years",48.57,"25-30"
"ETH","30-34 years",43.925,"30-35"
"ETH","35-39 years",39.33,"35-40"
"ETH","40-44 years",34.83,"40-45"
"ETH","45-49 years",30.475,"45-50"
"ETH","50-54 years",26.26,"50-55"
"ETH","55-59 years",22.235,"55-60"
"ETH","60-64 years",18.42,"60-65"
"ETH","65-69 years",14.935,"65-70"
"ETH","70-74 years",11.77,"70-75"
"ETH","75-79 years",9.075,"75-80"
"ETH","80+",6.845,"80+"
"FIN","0-4",81.6,"0-5"
"FIN","5-9 years",76.795,"5-10"
"FIN","10-14 years",71.815,"10-15"
"FIN","15-19  years",66.845,"15-20"
"FIN","20-24 years",61.935,"20-25"
"FIN","25-29 years",57.075,"25-30"
"FIN","30-34 years",52.23,"30-35"
"FIN","35-39 years",47.39,"35-40"
"FIN","40-44 years",42.56,"40-45"
"FIN","45-49 years",37.775,"45-50"
"FIN","50-54 years",33.075,"50-55"
"FIN","55-59 years",28.505,"55-60"
"FIN","60-64 years",24.085,"60-65"
"FIN","65-69 years",19.915,"65-70"
"FIN","70-74 years",15.95,"70-75"
"FIN","75-79 years",12.205,"75-80"
"FIN","80+",8.815,"80+"
"FJI","0-4",68.635,"0-5"
"FJI","5-9 years",64.925,"5-10"
"FJI","10-14 years",60.05,"10-15"
"FJI","15-19  years",55.21,"15-20"
"FJI","20-24 years",50.45,"20-25"
"FJI","25-29 years",45.755,"25-30"
"FJI","30-34 years",41.08,"30-35"
"FJI","35-39 years",36.42,"35-40"
"FJI","40-44 years",31.885,"40-45"
"FJI","45-49 years",27.505,"45-50"
"FJI","50-54 years",23.39,"50-55"
"FJI","55-59 years",19.635,"55-60"
"FJI","60-64 years",16.185,"60-65"
"FJI","65-69 years",13.18,"65-70"
"FJI","70-74 years",10.405,"70-75"
"FJI","75-79 years",8.03,"75-80"
"FJI","80+",5.875,"80+"
"FRA","0-4",82.425,"0-5"
"FRA","5-9 years",77.8,"5-10"
"FRA","10-14 years",72.82,"10-15"
"FRA","15-19  years",67.855,"15-20"
"FRA","20-24 years",62.915,"20-25"
"FRA","25-29 years",58.015,"25-30"
"FRA","30-34 years",53.13,"30-35"
"FRA","35-39 years",48.26,"35-40"
"FRA","40-44 years",43.43,"40-45"
"FRA","45-49 years",38.675,"45-50"
"FRA","50-54 years",34.03,"50-55"
"FRA","55-59 years",29.515,"55-60"
"FRA","60-64 years",25.24,"60-65"
"FRA","65-69 years",21.155,"65-70"
"FRA","70-74 years",17.17,"70-75"
"FRA","75-79 years",13.345,"75-80"
"FRA","80+",9.705,"80+"
"FSM","0-4",63.765,"0-5"
"FSM","5-9 years",60.08,"5-10"
"FSM","10-14 years",55.275,"10-15"
"FSM","15-19  years",50.415,"15-20"
"FSM","20-24 years",45.71,"20-25"
"FSM","25-29 years",41.25,"25-30"
"FSM","30-34 years",36.875,"30-35"
"FSM","35-39 years",32.61,"35-40"
"FSM","40-44 years",28.51,"40-45"
"FSM","45-49 years",24.64,"45-50"
"FSM","50-54 years",21.045,"50-55"
"FSM","55-59 years",17.71,"55-60"
"FSM","60-64 years",14.7,"60-65"
"FSM","65-69 years",11.97,"65-70"
"FSM","70-74 years",9.47,"70-75"
"FSM","75-79 years",7.285,"75-80"
"FSM","80+",5.395,"80+"
"GAB","0-4",67.76,"0-5"
"GAB","5-9 years",64.545,"5-10"
"GAB","10-14 years",59.875,"10-15"
"GAB","15-19  years",55.265,"15-20"
"GAB","20-24 years",50.555,"20-25"
"GAB","25-29 years",45.93,"25-30"
"GAB","30-34 years",41.36,"30-35"
"GAB","35-39 years",36.89,"35-40"
"GAB","40-44 years",32.57,"40-45"
"GAB","45-49 years",28.425,"45-50"
"GAB","50-54 years",24.47,"50-55"
"GAB","55-59 years",20.73,"55-60"
"GAB","60-64 years",17.2,"60-65"
"GAB","65-69 years",13.96,"65-70"
"GAB","70-74 years",11.02,"70-75"
"GAB","75-79 years",8.485,"75-80"
"GAB","80+",6.34,"80+"
"GBR","0-4",81.39,"0-5"
"GBR","5-9 years",76.745,"5-10"
"GBR","10-14 years",71.77,"10-15"
"GBR","15-19  years",66.8,"15-20"
"GBR","20-24 years",61.86,"20-25"
"GBR","25-29 years",56.955,"25-30"
"GBR","30-34 years",52.065,"30-35"
"GBR","35-39 years",47.21,"35-40"
"GBR","40-44 years",42.405,"40-45"
"GBR","45-49 years",37.68,"45-50"
"GBR","50-54 years",33.045,"50-55"
"GBR","55-59 years",28.49,"55-60"
"GBR","60-64 years",24.095,"60-65"
"GBR","65-69 years",19.92,"65-70"
"GBR","70-74 years",15.905,"70-75"
"GBR","75-79 years",12.23,"75-80"
"GBR","80+",8.885,"80+"
"GEO","0-4",73.275,"0-5"
"GEO","5-9 years",69.005,"5-10"
"GEO","10-14 years",64.08,"10-15"
"GEO","15-19  years",59.155,"15-20"
"GEO","20-24 years",54.315,"20-25"
"GEO","25-29 years",49.505,"25-30"
"GEO","30-34 years",44.71,"30-35"
"GEO","35-39 years",39.95,"35-40"
"GEO","40-44 years",35.305,"40-45"
"GEO","45-49 years",30.78,"45-50"
"GEO","50-54 years",26.46,"50-55"
"GEO","55-59 years",22.355,"55-60"
"GEO","60-64 years",18.535,"60-65"
"GEO","65-69 years",14.995,"65-70"
"GEO","70-74 years",11.685,"70-75"
"GEO","75-79 years",8.565,"75-80"
"GEO","80+",6.3,"80+"
"GHA","0-4",67.74,"0-5"
"GHA","5-9 years",64.58,"5-10"
"GHA","10-14 years",59.95,"10-15"
"GHA","15-19  years",55.22,"15-20"
"GHA","20-24 years",50.545,"20-25"
"GHA","25-29 years",45.965,"25-30"
"GHA","30-34 years",41.425,"30-35"
"GHA","35-39 years",36.985,"35-40"
"GHA","40-44 years",32.68,"40-45"
"GHA","45-49 years",28.555,"45-50"
"GHA","50-54 years",24.585,"50-55"
"GHA","55-59 years",20.825,"55-60"
"GHA","60-64 years",17.275,"60-65"
"GHA","65-69 years",14.055,"65-70"
"GHA","70-74 years",11.13,"70-75"
"GHA","75-79 years",8.645,"75-80"
"GHA","80+",6.505,"80+"
"GIN","0-4",63.93,"0-5"
"GIN","5-9 years",62.305,"5-10"
"GIN","10-14 years",58.065,"10-15"
"GIN","15-19  years",53.42,"15-20"
"GIN","20-24 years",48.81,"20-25"
"GIN","25-29 years",44.305,"25-30"
"GIN","30-34 years",39.875,"30-35"
"GIN","35-39 years",35.545,"35-40"
"GIN","40-44 years",31.34,"40-45"
"GIN","45-49 years",27.315,"45-50"
"GIN","50-54 years",23.425,"50-55"
"GIN","55-59 years",19.795,"55-60"
"GIN","60-64 years",16.39,"60-65"
"GIN","65-69 years",13.37,"65-70"
"GIN","70-74 years",10.625,"70-75"
"GIN","75-79 years",8.34,"75-80"
"GIN","80+",6.335,"80+"
"GMB","0-4",66.97,"0-5"
"GMB","5-9 years",64.07,"5-10"
"GMB","10-14 years",59.425,"10-15"
"GMB","15-19  years",54.69,"15-20"
"GMB","20-24 years",49.975,"20-25"
"GMB","25-29 years",45.34,"25-30"
"GMB","30-34 years",40.78,"30-35"
"GMB","35-39 years",36.35,"35-40"
"GMB","40-44 years",32.095,"40-45"
"GMB","45-49 years",28.02,"45-50"
"GMB","50-54 years",24.115,"50-55"
"GMB","55-59 years",20.4,"55-60"
"GMB","60-64 years",16.905,"60-65"
"GMB","65-69 years",13.725,"65-70"
"GMB","70-74 years",10.865,"70-75"
"GMB","75-79 years",8.395,"75-80"
"GMB","80+",6.28,"80+"
"GNB","0-4",62.51,"0-5"
"GNB","5-9 years",60.26,"5-10"
"GNB","10-14 years",55.865,"10-15"
"GNB","15-19  years",51.125,"15-20"
"GNB","20-24 years",46.535,"20-25"
"GNB","25-29 years",42.04,"25-30"
"GNB","30-34 years",37.615,"30-35"
"GNB","35-39 years",33.325,"35-40"
"GNB","40-44 years",29.24,"40-45"
"GNB","45-49 years",25.42,"45-50"
"GNB","50-54 years",21.805,"50-55"
"GNB","55-59 years",18.43,"55-60"
"GNB","60-64 years",15.32,"60-65"
"GNB","65-69 years",12.525,"65-70"
"GNB","70-74 years",9.985,"70-75"
"GNB","75-79 years",7.81,"75-80"
"GNB","80+",5.94,"80+"
"GNQ","0-4",65.28,"0-5"
"GNQ","5-9 years",62.77,"5-10"
"GNQ","10-14 years",58.365,"10-15"
"GNQ","15-19  years",53.73,"15-20"
"GNQ","20-24 years",49.065,"20-25"
"GNQ","25-29 years",44.505,"25-30"
"GNQ","30-34 years",40.16,"30-35"
"GNQ","35-39 years",36.085,"35-40"
"GNQ","40-44 years",32.23,"40-45"
"GNQ","45-49 years",28.49,"45-50"
"GNQ","50-54 years",24.83,"50-55"
"GNQ","55-59 years",21.215,"55-60"
"GNQ","60-64 years",17.675,"60-65"
"GNQ","65-69 years",14.36,"65-70"
"GNQ","70-74 years",11.325,"70-75"
"GNQ","75-79 years",8.7,"75-80"
"GNQ","80+",6.48,"80+"
"GRC","0-4",81.105,"0-5"
"GRC","5-9 years",76.4,"5-10"
"GRC","10-14 years",71.435,"10-15"
"GRC","15-19  years",66.465,"15-20"
"GRC","20-24 years",61.54,"20-25"
"GRC","25-29 years",56.65,"25-30"
"GRC","30-34 years",51.75,"30-35"
"GRC","35-39 years",46.865,"35-40"
"GRC","40-44 years",42.03,"40-45"
"GRC","45-49 years",37.24,"45-50"
"GRC","50-54 years",32.575,"50-55"
"GRC","55-59 years",28.08,"55-60"
"GRC","60-64 years",23.795,"60-65"
"GRC","65-69 years",19.745,"65-70"
"GRC","70-74 years",15.825,"70-75"
"GRC","75-79 years",12.265,"75-80"
"GRC","80+",8.92,"80+"
"GRD","0-4",73.08,"0-5"
"GRD","5-9 years",69.21,"5-10"
"GRD","10-14 years",64.33,"10-15"
"GRD","15-19  years",59.45,"15-20"
"GRD","20-24 years",54.625,"20-25"
"GRD","25-29 years",49.855,"25-30"
"GRD","30-34 years",45.08,"30-35"
"GRD","35-39 years",40.41,"35-40"
"GRD","40-44 years",35.815,"40-45"
"GRD","45-49 years",31.275,"45-50"
"GRD","50-54 years",26.87,"50-55"
"GRD","55-59 years",22.66,"55-60"
"GRD","60-64 years",18.75,"60-65"
"GRD","65-69 years",15.215,"65-70"
"GRD","70-74 years",12.17,"70-75"
"GRD","75-79 years",9.455,"75-80"
"GRD","80+",7.07,"80+"
"GTM","0-4",72.49,"0-5"
"GTM","5-9 years",68.76,"5-10"
"GTM","10-14 years",63.87,"10-15"
"GTM","15-19  years",58.995,"15-20"
"GTM","20-24 years",54.385,"20-25"
"GTM","25-29 years",49.885,"25-30"
"GTM","30-34 years",45.42,"30-35"
"GTM","35-39 years",40.925,"35-40"
"GTM","40-44 years",36.515,"40-45"
"GTM","45-49 years",32.185,"45-50"
"GTM","50-54 years",27.975,"50-55"
"GTM","55-59 years",24.03,"55-60"
"GTM","60-64 years",20.415,"60-65"
"GTM","65-69 years",16.865,"65-70"
"GTM","70-74 years",13.815,"70-75"
"GTM","75-79 years",10.655,"75-80"
"GTM","80+",7.895,"80+"
"GUY","0-4",66.61,"0-5"
"GUY","5-9 years",62.935,"5-10"
"GUY","10-14 years",58.055,"10-15"
"GUY","15-19  years",53.215,"15-20"
"GUY","20-24 years",48.6,"20-25"
"GUY","25-29 years",44.245,"25-30"
"GUY","30-34 years",40.16,"30-35"
"GUY","35-39 years",35.72,"35-40"
"GUY","40-44 years",31.525,"40-45"
"GUY","45-49 years",27.615,"45-50"
"GUY","50-54 years",23.57,"50-55"
"GUY","55-59 years",20.08,"55-60"
"GUY","60-64 years",16.6,"60-65"
"GUY","65-69 years",13.765,"65-70"
"GUY","70-74 years",10.5,"70-75"
"GUY","75-79 years",9.025,"75-80"
"GUY","80+",5.565,"80+"
"HND","0-4",71.945,"0-5"
"HND","5-9 years",68.12,"5-10"
"HND","10-14 years",63.245,"10-15"
"HND","15-19  years",58.395,"15-20"
"HND","20-24 years",53.61,"20-25"
"HND","25-29 years",48.88,"25-30"
"HND","30-34 years",44.16,"30-35"
"HND","35-39 years",39.475,"35-40"
"HND","40-44 years",34.86,"40-45"
"HND","45-49 years",30.38,"45-50"
"HND","50-54 years",26.09,"50-55"
"HND","55-59 years",22.05,"55-60"
"HND","60-64 years",18.31,"60-65"
"HND","65-69 years",14.895,"65-70"
"HND","70-74 years",11.805,"70-75"
"HND","75-79 years",9.11,"75-80"
"HND","80+",6.815,"80+"
"HRV","0-4",78.57,"0-5"
"HRV","5-9 years",73.95,"5-10"
"HRV","10-14 years",68.985,"10-15"
"HRV","15-19  years",64.02,"15-20"
"HRV","20-24 years",59.095,"20-25"
"HRV","25-29 years",54.195,"25-30"
"HRV","30-34 years",49.3,"30-35"
"HRV","35-39 years",44.42,"35-40"
"HRV","40-44 years",39.59,"40-45"
"HRV","45-49 years",34.815,"45-50"
"HRV","50-54 years",30.195,"50-55"
"HRV","55-59 years",25.76,"55-60"
"HRV","60-64 years",21.595,"60-65"
"HRV","65-69 years",17.73,"65-70"
"HRV","70-74 years",14.075,"70-75"
"HRV","75-79 years",10.68,"75-80"
"HRV","80+",7.825,"80+"
"HTI","0-4",66.315,"0-5"
"HTI","5-9 years",63.335,"5-10"
"HTI","10-14 years",58.715,"10-15"
"HTI","15-19  years",53.975,"15-20"
"HTI","20-24 years",49.335,"20-25"
"HTI","25-29 years",44.805,"25-30"
"HTI","30-34 years",40.34,"30-35"
"HTI","35-39 years",35.965,"35-40"
"HTI","40-44 years",31.73,"40-45"
"HTI","45-49 years",27.685,"45-50"
"HTI","50-54 years",23.815,"50-55"
"HTI","55-59 years",20.175,"55-60"
"HTI","60-64 years",16.755,"60-65"
"HTI","65-69 years",13.675,"65-70"
"HTI","70-74 years",10.87,"70-75"
"HTI","75-79 years",8.485,"75-80"
"HTI","80+",6.4,"80+"
"HUN","0-4",76.34,"0-5"
"HUN","5-9 years",71.6,"5-10"
"HUN","10-14 years",66.63,"10-15"
"HUN","15-19  years",61.66,"15-20"
"HUN","20-24 years",56.735,"20-25"
"HUN","25-29 years",51.835,"25-30"
"HUN","30-34 years",46.95,"30-35"
"HUN","35-39 years",42.095,"35-40"
"HUN","40-44 years",37.295,"40-45"
"HUN","45-49 years",32.59,"45-50"
"HUN","50-54 years",28.05,"50-55"
"HUN","55-59 years",23.815,"55-60"
"HUN","60-64 years",19.995,"60-65"
"HUN","65-69 years",16.535,"65-70"
"HUN","70-74 years",13.31,"70-75"
"HUN","75-79 years",10.225,"75-80"
"HUN","80+",7.515,"80+"
"IDN","0-4",71.86,"0-5"
"IDN","5-9 years",68.115,"5-10"
"IDN","10-14 years",63.325,"10-15"
"IDN","15-19  years",58.45,"15-20"
"IDN","20-24 years",53.665,"20-25"
"IDN","25-29 years",48.93,"25-30"
"IDN","30-34 years",44.175,"30-35"
"IDN","35-39 years",39.45,"35-40"
"IDN","40-44 years",34.795,"40-45"
"IDN","45-49 years",30.26,"45-50"
"IDN","50-54 years",25.91,"50-55"
"IDN","55-59 years",21.785,"55-60"
"IDN","60-64 years",17.93,"60-65"
"IDN","65-69 years",14.42,"65-70"
"IDN","70-74 years",11.295,"70-75"
"IDN","75-79 years",8.61,"75-80"
"IDN","80+",6.345,"80+"
"IND","0-4",71.86,"0-5"
"IND","5-9 years",68.305,"5-10"
"IND","10-14 years",63.49,"10-15"
"IND","15-19  years",58.655,"15-20"
"IND","20-24 years",53.89,"20-25"
"IND","25-29 years",49.225,"25-30"
"IND","30-34 years",44.57,"30-35"
"IND","35-39 years",39.965,"35-40"
"IND","40-44 years",35.435,"40-45"
"IND","45-49 years",30.985,"45-50"
"IND","50-54 years",26.665,"50-55"
"IND","55-59 years",22.62,"55-60"
"IND","60-64 years",18.825,"60-65"
"IND","65-69 years",15.315,"65-70"
"IND","70-74 years",12.135,"70-75"
"IND","75-79 years",9.35,"75-80"
"IND","80+",6.91,"80+"
"IRL","0-4",81.84,"0-5"
"IRL","5-9 years",77.115,"5-10"
"IRL","10-14 years",72.14,"10-15"
"IRL","15-19  years",67.16,"15-20"
"IRL","20-24 years",62.2,"20-25"
"IRL","25-29 years",57.32,"25-30"
"IRL","30-34 years",52.445,"30-35"
"IRL","35-39 years",47.58,"35-40"
"IRL","40-44 years",42.725,"40-45"
"IRL","45-49 years",37.915,"45-50"
"IRL","50-54 years",33.205,"50-55"
"IRL","55-59 years",28.615,"55-60"
"IRL","60-64 years",24.17,"60-65"
"IRL","65-69 years",19.84,"65-70"
"IRL","70-74 years",15.75,"70-75"
"IRL","75-79 years",11.97,"75-80"
"IRL","80+",8.51,"80+"
"IRN","0-4",77.39,"0-5"
"IRN","5-9 years",73.43,"5-10"
"IRN","10-14 years",68.55,"10-15"
"IRN","15-19  years",63.665,"15-20"
"IRN","20-24 years",58.895,"20-25"
"IRN","25-29 years",54.16,"25-30"
"IRN","30-34 years",49.395,"30-35"
"IRN","35-39 years",44.63,"35-40"
"IRN","40-44 years",39.885,"40-45"
"IRN","45-49 years",35.185,"45-50"
"IRN","50-54 years",30.565,"50-55"
"IRN","55-59 years",26.095,"55-60"
"IRN","60-64 years",21.83,"60-65"
"IRN","65-69 years",17.82,"65-70"
"IRN","70-74 years",14.07,"70-75"
"IRN","75-79 years",10.66,"75-80"
"IRN","80+",7.87,"80+"
"IRQ","0-4",73.135,"0-5"
"IRQ","5-9 years",69.425,"5-10"
"IRQ","10-14 years",64.56,"10-15"
"IRQ","15-19  years",59.675,"15-20"
"IRQ","20-24 years",54.885,"20-25"
"IRQ","25-29 years",50.175,"25-30"
"IRQ","30-34 years",45.445,"30-35"
"IRQ","35-39 years",40.74,"35-40"
"IRQ","40-44 years",36.085,"40-45"
"IRQ","45-49 years",31.52,"45-50"
"IRQ","50-54 years",27.165,"50-55"
"IRQ","55-59 years",23.02,"55-60"
"IRQ","60-64 years",19.14,"60-65"
"IRQ","65-69 years",15.595,"65-70"
"IRQ","70-74 years",12.39,"70-75"
"IRQ","75-79 years",9.595,"75-80"
"IRQ","80+",7.185,"80+"
"ISL","0-4",82.34,"0-5"
"ISL","5-9 years",77.53,"5-10"
"ISL","10-14 years",72.555,"10-15"
"ISL","15-19  years",67.58,"15-20"
"ISL","20-24 years",62.675,"20-25"
"ISL","25-29 years",57.775,"25-30"
"ISL","30-34 years",52.905,"30-35"
"ISL","35-39 years",48.11,"35-40"
"ISL","40-44 years",43.315,"40-45"
"ISL","45-49 years",38.5,"45-50"
"ISL","50-54 years",33.735,"50-55"
"ISL","55-59 years",29.085,"55-60"
"ISL","60-64 years",24.625,"60-65"
