"scenario","income","Rt","Vaccine","infections_med","infections_baseline_med","infections_averted_med","infections_025","infections_baseline_025","infections_averted_025","infections_25","infections_baseline_25","infections_averted_25","infections_75","infections_baseline_75","infections_averted_75","infections_975","infections_baseline_975","infections_averted_975"
1,"UMIC","History Based","100-Day Mission",747903689,1074178246,323194542,557798447,843268091,269919935,666997345,989997352,296270588,832148649,1160894690,345563842,904518764,1248993235,386832506
2,"UMIC","Target Based","100-Day Mission",1039649231,1074178246,32839681,810537527,843268091,-38838816,941655225,989997352,11615728,1131389983,1160894690,65792998,1234850458,1248993235,109316201
3,"UMIC","Economic Based","100-Day Mission",907254816,1074178246,152642865,704618293,843268091,88710449,821162066,989997352,127785498,1019394922,1160894690,178720655,1108032530,1248993235,213923440
4,"UMIC","History Based","100-Day Mission & Manufacturing",658323447,1074178246,407195043,493904825,843268091,339393739,579800640,989997352,376427152,743420410,1160894690,434692880,827671267,1248993235,484340541
5,"UMIC","Target Based","100-Day Mission & Manufacturing",959438472,1074178246,113985478,732979277,843268091,28290057,838415213,989997352,78562744,1077676372,1160894690,133658700,1173007052,1248993235,201950504
6,"UMIC","Economic Based","100-Day Mission & Manufacturing",860628888,1074178246,207714324,662096169,843268091,127390350,762073167,989997352,179991608,970032782,1160894690,225219389,1061556580,1248993235,273191705
7,"UMIC","History Based","100-Day Mission & Infrastructure",640422090,1074178246,431049401,478513731,843268091,357996769,567278367,989997352,392534326,722478904,1160894690,456716343,794576697,1248993235,496132701
8,"UMIC","Target Based","100-Day Mission & Infrastructure",902393485,1074178246,166320058,687850007,843268091,96452358,796924762,989997352,143825401,1008835910,1160894690,192369148,1109660053,1248993235,234293188
9,"UMIC","Economic Based","100-Day Mission & Infrastructure",823039628,1074178246,248480767,626114221,843268091,172271161,719171492,989997352,219760159,920443705,1160894690,275763780,1014854192,1248993235,310462950
10,"UMIC","History Based","100-Day Mission Total (Manu. & Infr.)",591312185,1074178246,479470467,443514405,843268091,392970545,521620318,989997352,436223668,666755170,1160894690,509689501,741223241,1248993235,555470352
11,"UMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",891966261,1074178246,178583373,680088491,843268091,73176891,778523972,989997352,150260679,1006120853,1160894690,210305277,1107017052,1248993235,262635502
12,"UMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",812878065,1074178246,250503516,608314609,843268091,169464939,710157057,989997352,223404961,927309029,1160894690,279806964,1012284012,1248993235,332930282
